GENESIS-Tabelle: 33111-001r-2015
Fläche: Gemeinden, Fläche (ALKIS), Art der tatsächlichen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nutzung (nach ALKIS-Nutzungsarten), Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(ab 2015);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.12.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten)
09172111;      Ainring;3295,46;156,34;30,22;21,38;1,52;0,01;1,08;-;4,87;71,21;11,47;57,42;0,28;5,64;5,19;1,35;65,20;44,63;2,21;22,94;-;-;554,63;1190,51;-;-;0,69;859,58;25,97;-;57,18;0,06;33,66;31,68;-;38,57
09172112;      Anger;4590,36;71,49;5,58;5,32;1,92;0,02;-;-;-;74,56;10,88;4,50;0,11;1,53;0,97;0,93;78,60;56,51;1,58;-;-;-;124,51;1482,78;-;-;-;2577,18;23,38;0,63;6,18;-;21,39;25,42;-;14,39
09172114;      Bad Reichenhall, GKSt;4191,81;206,43;24,85;38,36;3,58;2,71;-;-;-;46,89;68,72;21,23;0,11;6,45;22,43;3,88;124,12;41,40;15,98;7,88;-;-;18,91;441,47;-;-;-;2581,40;138,25;-;-;2,75;295,17;53,53;-;25,30
09172115;      Bayerisch Gmain;1232,80;66,42;1,08;5,21;0,97;1,19;-;-;-;8,30;9,88;3,67;0,75;4,49;3,08;1,05;25,55;14,39;1,02;9,40;-;-;1,46;150,80;-;-;-;573,33;135,78;-;2,20;-;202,45;9,66;-;0,67
09172116;      Berchtesgaden, M;3562,43;112,36;13,50;25,06;1,76;1,56;-;0,47;1,16;62,14;20,39;28,55;0,81;7,80;3,89;1,16;108,90;43,60;12,48;2,89;-;-;-;775,41;-;-;-;2159,79;40,66;0,89;2,66;-;96,96;37,06;-;0,52
09172117;      Bischofswiesen;6214,74;113,61;23,17;12,82;1,38;4,19;-;-;12,98;61,74;43,50;8,98;1,77;7,55;1,33;-;77,24;55,69;4,12;14,81;-;-;-;852,70;-;-;-;3954,46;393,22;-;2,75;0,50;530,10;33,34;-;2,78
09172118;      Freilassing, St;1481,35;190,81;62,16;28,59;4,79;3,11;-;-;5,14;39,28;20,99;13,78;2,09;5,98;12,39;3,02;87,47;21,30;5,60;31,47;-;-;243,88;264,24;-;-;-;352,20;23,06;-;-;-;22,13;31,00;-;6,87
09172122;      Laufen, St;3527,60;113,30;11,72;10,35;9,98;1,89;-;-;12,33;84,25;19,87;10,52;8,74;1,49;5,71;3,01;78,16;55,68;3,72;20,17;-;-;762,71;1073,95;15,31;-;1,17;1058,08;23,44;-;-;-;36,39;89,67;-;15,99
09172124;      Marktschellenberg, M;1766,14;27,07;2,86;2,02;0,33;0,30;-;-;1,32;35,34;1,39;1,35;-;0,44;0,46;0,37;33,38;14,07;1,25;-;-;-;-;572,28;-;-;-;1014,93;13,47;-;-;-;20,81;22,13;-;0,59
09172128;      Piding;1767,05;81,60;14,20;11,36;1,24;1,22;-;-;-;25,64;7,15;4,13;1,39;2,16;1,39;1,08;53,11;24,17;1,84;8,32;-;-;38,80;383,89;-;-;0,21;999,34;16,45;-;-;-;55,91;31,48;-;0,93
