GENESIS-Tabelle: Temporär
Fläche: Gemeinden, Fläche (ALKIS), Art der tatsächlichen;;;;;;;;;;;;;;;;;;;
Nutzung (6)/(10)/(17), Jahr;;;;;;;;;;;;;;;;;;;
(von 2011 bis 2015);;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;
31.12.2011;;;;;;;;;;;;;;;;;;;
;;Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS)
09187116;      Babensham;543094;6774;1457;10938;596;1476;165;459;15173;5;4792;-;282229;198440;16689;3838;63;-
09187117;      Bad Aibling, St;414227;25312;4222;21348;734;-;1855;1760;17059;984;2957;-;230944;89684;7564;9315;489;-
09187118;      Bernau a.Chiemsee;266785;13535;588;10487;180;-;322;1917;12972;1033;6518;-;137342;71171;5561;5070;89;-
09187120;      Brannenburg;336672;12019;969;8136;411;1227;183;1104;8964;2041;46;-;115408;160326;2818;22791;229;-
09187121;      Breitbrunn a.Chiemsee;81240;6608;56;3024;56;-;73;492;3311;-;1518;-;47889;15564;1409;1160;80;-
09187122;      Bruckmühl, M;502114;30332;5185;17618;759;3285;625;1480;18747;2015;194;-;238383;166295;9399;7427;370;-
09187123;      Chiemsee;25687;405;16;1143;41;-;1783;-;684;-;-;-;5662;15186;328;425;14;-
09187124;      Edling;200395;9958;2164;6183;105;1055;94;801;6377;1911;1976;-;113807;47369;3750;4708;137;-
09187125;      Eggstätt;242884;6132;1442;4775;229;1836;74;343;5724;-;13204;-;103175;86706;13406;5731;107;-
09187126;      Eiselfing;348928;5364;1817;8927;1590;511;130;576;11902;-;918;-;222559;79572;12148;2852;62;-
09187128;      Bad Endorf, M;401036;13789;1598;11276;231;119;341;1144;10960;2277;4809;-;177527;113757;57580;5481;147;-
09187129;      Bad Feilnbach;574936;14080;1607;13832;722;8731;297;1993;18763;-;17234;-;281430;200334;5738;9956;219;-
09187130;      Feldkirchen-Westerham;532479;21136;2767;16797;2059;-;300;6059;17115;1239;218;-;254548;193364;10397;6313;167;-
09187131;      Flintsbach a.Inn;313044;5378;865;4095;153;3098;125;557;10631;1702;122;-;87692;173286;4036;21223;81;-
09187132;      Frasdorf;327122;6435;505;7040;185;291;191;214;11126;107;142;-;142513;152233;2275;3777;88;-
09187134;      Griesstätt;295315;5027;734;6732;256;801;89;583;9111;-;743;-;159821;86899;19937;4557;25;-
09187137;      Großkarolinenfeld;290757;12547;1520;8775;543;-;422;684;8091;2091;-;-;182600;68757;1466;3071;190;-
09187138;      Gstadt a.Chiemsee;107056;5314;90;2966;402;-;352;254;3341;-;4100;-;49047;37469;443;3257;21;-
09187139;      Halfing;227970;4545;1131;7147;143;373;64;298;5975;603;2536;-;121404;77678;3552;2428;93;-
09187142;      Schechen;315364;8180;1064;11652;1428;228;152;1175;12141;1986;-;-;195841;69859;6563;5016;79;-
09187145;      Höslwang;161768;2238;342;4060;594;226;39;6272;4143;-;1370;-;95948;45053;520;937;26;-
09187148;      Kiefersfelden;367411;13109;2024;4844;715;137;420;513;11211;1736;-;-;95205;217125;7474;12754;144;-
09187150;      Kolbermoor, St;198289;26141;3574;10861;397;31;2095;746;9640;723;1150;-;66309;64570;4865;6865;322;-
09187154;      Neubeuern, M;153223;8665;722;4598;149;551;80;627;5962;-;40;7;73284;50483;5048;2962;45;-
09187156;      Nußdorf a.Inn;285601;5832;672;3689;301;2110;115;450;6698;1;-;-;75155;170849;11598;8082;49;-
09187157;      Oberaudorf;592975;12231;678;7801;357;99;282;792;16127;1505;1021;329;207063;302992;9889;31657;152;-
09187159;      Pfaffing;353907;8813;1985;9839;188;366;60;6199;10169;459;1933;-;220703;85876;3133;4106;78;-
09187162;      Prien a.Chiemsee, M;207033;22012;1302;9994;152;490;389;5132;8569;2000;133;-;101362;50007;2756;2527;208;-
09187163;      Prutting;162261;5590;587;5256;54;1042;7;462;5353;633;4050;-;90376;45388;2025;1418;20;-
09187164;      Ramerberg;80922;3163;335;3001;109;240;119;209;3121;858;27;-;51030;15639;916;2125;30;-
09187165;      Raubling;442706;22306;5715;10785;512;1132;434;1584;21031;1493;43269;-;135999;166821;20963;10441;221;-
09187167;      Riedering;379508;11395;896;11872;143;31;88;2299;11794;-;641;-;207899;121340;5181;5769;160;-
09187168;      Rimsting;199978;9354;1063;5801;580;-;472;402;6400;1002;482;-;98425;53148;19338;3397;114;-
09187169;      Rohrdorf;286567;11649;5250;7919;858;3550;255;872;15413;710;386;-;122934;100140;10396;6043;192;-
09187170;      Rott a.Inn;195714;6853;1860;6124;278;161;437;433;7116;1357;130;-;123517;39932;2286;5160;70;-
09187172;      Samerberg;334071;5435;150;6229;105;-;57;357;7232;-;17;-;171427;137807;1711;3484;60;-
09187173;      Schonstett;135959;2313;962;3172;197;-;46;176;3527;-;2777;-;75664;44994;1248;864;19;-
09187174;      Söchtenau;256234;5073;555;7461;541;2095;92;594;7539;1079;3588;-;145951;74723;3205;3656;82;-
09187176;      Soyen;289557;6469;861;9733;1047;268;52;795;8998;2686;814;-;176052;67308;10471;3886;117;-
09187177;      Stephanskirchen;265167;19857;5356;8981;1076;2116;845;667;10893;1916;768;-;92984;61795;48278;9375;260;-
09187179;      Tuntenhausen;689673;13250;3195;19096;761;141;69;7806;18634;1735;-;-;414514;202495;3809;3959;209;-
09187181;      Vogtareuth;342466;5409;557;9607;193;1197;69;335;10304;304;3804;-;170232;107651;27589;5102;113;-
09187182;      Wasserburg a.Inn, St;188002;15341;5963;14395;716;256;1320;886;12116;1496;952;-;68805;45611;15888;3899;358;-
09187186;      Albaching;181575;3030;888;4792;56;21;19;278;4925;-;412;-;132187;33010;871;1067;19;-
09187444;      Gemeindefreie Gebiete;103676;-;-;5;-;-;-;-;2083;-;2300;-;5;98493;710;80;-;-
09188;    Starnberg (Lkr);4877269;284220;19658;114861;5599;16092;14785;46589;177675;24956;47533;28;1539846;1810765;665694;105015;3953;-
09188113;      Berg;366270;27771;829;9882;119;288;940;1328;14547;-;2909;-;129923;168716;2530;6307;181;-
09188117;      Andechs;404370;7256;1540;7277;153;756;542;516;10836;-;1293;24;200514;160589;3206;9778;90;-
09188118;      Feldafing;91472;12117;118;6437;557;-;350;5430;4648;1306;1136;-;24058;30148;580;4457;130;-
09188120;      Gauting;555029;36859;1214;13826;1081;4534;594;1748;19317;5462;-;-;154293;305660;2080;7832;529;-
09188121;      Gilching;314984;24085;2660;9965;149;3460;925;1242;17695;1278;8026;-;140641;95560;2842;6075;381;-
09188124;      Herrsching a.Ammersee;208778;24598;1047;6601;104;160;1993;1171;10011;341;3345;-;51761;93918;9581;3943;204;-
09188126;      Inning a.Ammersee;244186;13973;871;6223;91;341;515;2208;10492;-;3411;-;84478;94760;21629;5044;150;-
09188127;      Krailling;160002;12646;2609;3775;255;-;865;826;7509;772;-;-;30915;95414;269;3673;474;-
09188132;      Seefeld;348508;16969;1772;6361;951;383;741;3012;12145;1253;2650;-;142799;128527;22934;7818;193;-
09188137;      Pöcking;209591;14158;369;8351;197;51;1969;391;8461;1175;7614;4;88115;66259;4360;8002;115;-
09188139;      Starnberg, St;618477;47214;2480;18076;1677;666;1517;14882;30337;2330;10688;-;188958;277807;2473;18475;897;-
09188141;      Tutzing;356489;21089;853;7868;114;506;1328;6995;12094;2675;2111;-;131876;150029;6552;12033;366;-
09188144;      Weßling;226043;11627;2959;5344;95;4424;361;1054;10138;7664;620;-;98651;77438;1880;3672;116;-
09188145;      Wörthsee;204253;13673;337;4821;56;523;591;5691;9423;622;3730;-;72829;65194;20791;5845;127;-
09188444;      Gemeindefreie Gebiete;568817;185;-;54;-;-;1554;95;22;78;-;-;35;746;563987;2061;-;-
09189;    Traunstein (Lkr);15340062;335479;70848;314678;15304;32438;11837;62825;407672;26436;184279;3335;6689909;5754722;1040404;384690;5206;-
09189111;      Altenmarkt a.d.Alz;261052;8167;1449;7469;152;1687;118;399;9366;575;102;-;154902;70449;4906;1167;144;-
09189113;      Bergen;369084;11588;842;4906;663;-;167;710;10534;1197;10160;96;112528;197988;3719;13864;122;-
09189114;      Chieming;377386;12289;1453;11144;414;2516;212;12934;11138;-;3430;-;206409;109844;1495;3965;143;-
09189115;      Engelsberg;341855;5176;1127;8990;229;1510;170;642;8761;158;-;73;234673;78574;481;1231;60;-
09189118;      Fridolfing;442313;9384;2945;14016;397;704;238;3070;17308;704;-;-;289571;87218;10870;5754;134;-
09189119;      Grabenstätt;378110;9307;2127;7979;412;4038;308;926;12717;1551;12046;-;221704;91616;8727;4572;80;-
09189120;      Grassau, M;357823;13687;1689;6230;362;154;263;1164;8678;1598;70554;-;115881;127876;4133;5340;214;-
09189124;      Inzell;453577;10072;1056;7078;195;827;432;1080;13253;-;11570;100;96486;264119;2921;44300;88;-
09189126;      Kienberg;228380;2965;768;5783;1023;742;12;142;5781;261;-;-;160237;49124;440;1076;26;-
09189127;      Kirchanschöring;252343;6602;937;8020;289;4;235;1429;9114;1158;23;-;152036;67579;2497;2318;102;-
09189129;      Marquartstein;134068;7247;193;3617;65;697;178;831;3900;-;1628;542;28934;82484;2681;1023;48;-
09189130;      Nußdorf;161219;5095;1719;3688;1095;2181;18;226;5977;402;281;-;82577;53667;2752;1481;60;-
09189133;      Obing;437530;8624;1772;10900;196;1639;112;3078;13079;291;1562;-;293603;94037;7428;980;229;-
09189134;      Palling;538521;6415;568;11930;586;2793;124;332;15059;-;-;-;344710;152565;482;2894;63;-
09189135;      Petting;299286;3942;764;7677;398;135;145;758;9391;-;5762;431;156538;104275;6234;2777;59;-
09189137;      Pittenhart;279114;3312;366;6718;108;174;13;236;6905;865;100;-;166276;86799;5769;1448;25;-
09189139;      Reit im Winkl;709909;6579;545;4313;354;-;183;3043;12433;-;3434;1001;92789;553991;12993;18206;45;-
09189140;      Ruhpolding;1478555;13361;1249;10314;615;44;213;10024;18280;511;89;44;192522;1030844;17084;183189;172;-
09189141;      Schleching;451738;5561;297;2522;331;-;52;494;5335;-;4567;308;100747;299451;6297;25717;59;-
09189142;      Schnaitsee;611494;6835;796;13256;740;1679;240;511;15581;-;347;-;415592;151562;2750;1499;106;-
09189143;      Seeon-Seebruck;479402;11124;1480;11915;424;159;464;1155;14881;-;5652;-;238759;167414;22267;3598;110;-
09189145;      Siegsdorf;570067;17446;3622;15538;739;491;1208;1290;21815;783;6100;495;206267;285647;6465;2036;125;-
09189146;      Staudach-Egerndach;193468;2976;16;1654;130;-;17;24;3367;-;10112;-;55892;107962;1108;10186;24;-
09189148;      Surberg;237288;6682;273;5405;174;-;45;324;6672;2517;4232;-;124348;84665;596;1245;110;-
09189149;      Tacherting;502425;12440;4273;13418;1012;1871;187;971;14973;915;-;-;348542;97242;2699;3657;225;-
09189150;      Taching a.See;267511;4439;283;7428;364;757;464;858;8071;-;508;-;176672;64782;858;1985;42;-
09189152;      Tittmoning, St;720340;11483;4394;17350;489;1415;629;1485;22519;3134;-;-;444139;192906;11865;8383;149;-
09189154;      Traunreut, St;450653;26661;14959;15115;812;422;1765;2463;18599;1542;-;-;240943;119068;4105;3305;894;-
09189155;      Traunstein, GKSt;485666;25833;7048;19291;680;2789;1394;2470;21141;2185;10824;-;188366;191293;4592;7101;659;-
09189157;      Trostberg, St;515592;19878;7714;16869;841;1563;791;1420;17723;841;-;-;322566;116984;4150;3853;399;-
09189159;      Übersee;305385;11846;1375;9110;537;-;290;1849;13342;1760;11516;-;161557;75948;12662;3494;99;-
09189160;      Unterwössen;412882;10237;722;3329;115;-;263;593;8018;1099;-;245;95303;284266;3934;4621;137;-
09189161;      Vachendorf;99633;3882;205;2790;84;642;55;294;3471;1213;66;-;65054;20526;632;689;30;-
09189162;      Waging a.See, M;488753;11711;1483;13815;243;805;823;5406;16054;533;7817;-;291739;132116;2501;3532;175;-
09189165;      Wonneberg;180055;2633;339;5085;36;-;9;108;4409;639;1641;-;110907;51877;1493;830;49;-
09189444;      Gemeindefreie Gebiete;867585;-;-;16;-;-;-;86;27;4;156;-;140;7964;855818;3374;-;-
09190;    Weilheim-Schongau (Lkr);9663723;250659;46178;200239;13830;24747;16325;43123;291968;18797;242032;158;4991739;3163355;234061;123057;3455;-
09190111;      Altenstadt;186572;6339;1313;6598;927;1634;382;811;6703;923;-;-;108389;49874;505;2094;80;-
09190113;      Antdorf;223797;2302;183;4063;768;916;7;310;7221;244;4725;-;133316;63683;2612;3428;19;-
09190114;      Bernbeuren;416570;6249;242;7858;46;408;97;5477;8495;-;1831;-;281393;90346;8170;5907;51;-
09190115;      Bernried am Starnberger See;138015;4579;351;7401;88;-;2119;361;3781;1585;167;158;44554;66535;4989;1293;54;-
09190117;      Böbing;403153;3731;572;5844;83;256;131;236;7704;-;3464;-;192780;179278;6479;2537;58;-
09190118;      Burggen;249527;3542;215;4946;185;323;41;485;7081;-;1139;-;170685;56981;1735;2128;41;-
09190120;      Eberfing;259291;2766;142;4025;119;343;-;179;6265;-;1255;-;132744;104861;3043;3494;55;-
09190121;      Eglfing;161632;2140;650;2686;19;983;140;235;4808;384;1527;-;98138;47262;911;1723;26;-
09190126;      Habach;121531;2194;120;1753;17;1356;104;740;5142;-;1388;-;67809;36985;2037;1867;19;-
09190129;      Hohenfurch;123973;3709;88;3123;86;1662;21;347;4876;463;-;-;61405;41521;5339;1293;40;-
09190130;      Hohenpeißenberg;205207;9779;913;3663;198;-;161;317;5174;841;3393;-;65309;112012;1534;1818;95;-
09190131;      Huglfing;243608;5394;1186;4154;75;7373;184;572;5970;1053;10730;-;124857;78172;1570;2174;144;-
09190132;      Iffeldorf;276000;6514;460;2705;62;145;58;12609;9702;939;33842;-;49229;132304;22395;4956;80;-
09190133;      Ingenried;174472;1982;280;2706;2049;152;-;173;5539;-;18;-;96514;63824;339;868;28;-
09190135;      Oberhausen;149081;5960;46;3218;207;-;53;421;3811;361;1811;-;89348;39436;2563;1798;48;-
09190136;      Obersöchering;242752;2643;132;3749;287;480;4;293;7772;-;15117;-;156022;52234;2764;1229;26;-
09190138;      Pähl;322201;6797;477;5648;505;785;362;6979;9423;-;918;-;175311;101195;9679;4080;42;-
09190139;      Peißenberg, M;326908;22936;3582;10704;1287;-;494;1338;13775;1073;805;-;183307;79004;3748;4628;227;-
09190140;      Peiting, M;751367;20102;5850;15843;572;3086;733;1377;23709;1197;15665;-;345709;294843;12802;9494;385;-
09190141;      Penzberg, St;257292;25735;7466;6981;818;147;4407;1603;10873;1527;36917;-;67209;82726;3102;7374;407;-
09190142;      Polling;292033;7204;683;7893;159;1226;288;440;9720;1206;1394;-;178840;75335;3314;4267;64;-
09190143;      Prem;159343;2332;998;2694;186;47;54;391;3442;-;4308;-;99691;31654;9848;3670;28;-
09190144;      Raisting;219783;4722;640;4292;598;415;375;680;6514;673;179;-;150590;45350;2150;2551;54;-
09190145;      Rottenbuch;314803;4841;111;5948;123;643;84;595;8299;-;3085;-;186300;97136;5752;1862;24;-
09190148;      Schongau, St;213376;17466;10657;7818;1299;211;1618;1084;14618;1170;-;-;65104;63105;25352;3531;343;-
09190149;      Schwabbruck;73213;1708;442;1523;209;-;37;367;1762;169;560;-;58893;5291;516;1714;22;-
09190151;      Schwabsoien;169862;3123;288;3012;32;104;116;194;4067;-;-;-;106444;51030;203;1237;12;-
09190152;      Seeshaupt;299710;10480;251;5027;57;253;754;774;7769;1152;10934;-;120514;123139;16455;1992;159;-
09190153;      Sindelsdorf;174999;2297;89;2689;162;721;95;255;8412;-;44319;-;84629;24357;2879;4029;66;-
09190154;      Steingaden;640546;5594;523;11750;238;184;146;440;14345;-;21347;-;352315;190398;34247;8966;53;-
09190157;      Weilheim i.OB, St;554988;30443;6643;17196;607;735;3067;2121;23695;2000;1900;-;304023;137574;13131;11451;402;-
09190158;      Wessobrunn;511090;5755;252;10270;36;-;73;267;10277;486;5664;-;273778;191012;10260;2842;118;-
09190159;      Wielenbach;330246;6704;61;7777;1650;80;61;415;10011;1351;568;-;198517;89040;6617;7260;134;-
09190160;      Wildsteig;476782;2597;272;4682;76;79;59;237;11213;-;13062;-;168073;265858;7021;3502;51;-
092;  Niederbayern;103289450;2636626;574325;2777320;248510;249919;122023;367850;4232983;175901;23733;5206;53664202;34963933;1456921;1753735;36263;-
09261;    Landshut (Krfr.St);658433;79642;10745;45028;3982;859;10333;4837;52115;8211;-;-;271117;127356;16554;25986;1668;-
09262;    Passau (Krfr.St);695660;78003;18443;43154;3715;484;5031;4895;55067;8506;-;-;183573;231520;50620;11504;1145;-
09263;    Straubing (Krfr.St);676025;54785;24502;38162;3663;-;7638;7985;49421;3809;-;-;400125;12367;35239;37401;928;-
09271;    Deggendorf (Lkr);8613044;261358;61393;237158;23733;23704;11742;21086;361851;23162;853;20;4666049;2498225;207700;211883;3127;-
09271111;      Aholming;293546;6240;1082;6489;1087;819;142;339;11998;557;4;-;223673;22126;11694;7228;68;-
09271113;      Auerbach;240754;5830;524;6153;416;2327;80;360;8595;-;-;-;115843;95706;1444;3396;80;-
09271114;      Außernzell;241180;3154;346;6011;3407;-;89;290;7360;-;-;-;129031;83964;1411;6049;68;-
09271116;      Bernried;394874;13724;305;9630;83;756;512;934;12540;-;-;-;124807;222022;1528;7926;107;-
09271118;      Buchhofen;157279;2249;282;4465;998;-;18;221;4606;-;-;-;140370;2852;150;1050;18;-
09271119;      Deggendorf, GKSt;771524;53560;15293;33511;1908;3315;4769;3919;47619;6023;66;-;273926;268448;30603;27972;592;-
09271122;      Grafling;463307;8004;226;5529;213;-;63;314;14615;4886;-;20;90933;327731;1878;8795;100;-
09271123;      Grattersdorf;259848;3791;217;6230;138;-;179;416;8343;-;-;-;113455;124555;482;1977;65;-
09271125;      Hengersberg, M;458199;15053;6606;14676;1247;2799;335;643;25643;598;-;-;272299;98863;6622;12649;166;-
09271126;      Hunding;146697;2731;359;2253;83;-;50;8;5963;-;-;-;45386;88347;723;781;13;-
09271127;      Iggensbach;190813;5805;390;4511;304;705;142;357;11457;-;62;-;87871;73017;1066;5071;55;-
09271128;      Künzing;403670;9809;1081;12547;558;1;168;330;14216;865;-;-;246657;101171;2263;13904;100;-
09271130;      Lalling;279295;4381;1318;4266;120;-;550;400;9024;-;-;-;76602;180502;1288;844;-;-
09271132;      Metten, M;119547;10191;734;4746;257;218;129;643;7379;-;-;-;47359;29426;11690;6583;192;-
09271135;      Moos;322526;6344;869;7215;688;599;591;512;11027;848;-;-;211071;62947;12456;7359;-;-
09271138;      Niederalteich;99760;4222;401;2526;202;226;118;384;5392;33;103;-;43820;11450;24030;6818;35;-
09271139;      Oberpöring;173960;2553;294;4722;398;-;64;492;5875;-;13;-;122706;23906;8942;3943;52;-
09271140;      Offenberg;237578;8645;1740;6673;149;519;332;555;10647;-;-;-;145516;51101;5671;5922;108;-
09271141;      Osterhofen, St;1111950;29379;4202;32528;2409;1557;1260;1979;43246;1581;160;-;810261;118812;38763;25381;432;-
09271143;      Otzing;304365;4356;905;5505;403;12;66;167;13272;1107;-;-;245328;24303;5655;3232;54;-
09271146;      Plattling, St;358739;22719;17937;13604;1549;670;1460;2183;19873;4804;-;-;152987;78153;18709;23822;269;-
09271148;      Schaufling;253957;3187;299;6885;134;-;56;3531;9385;-;-;-;89340;137785;750;2546;59;-
09271149;      Schöllnach, M;399080;13739;1361;11346;218;1201;133;591;13261;-;183;-;182668;164814;1458;7870;237;-
09271151;      Stephansposching;446763;8265;3356;11188;5973;6775;259;240;21593;1860;-;-;363422;8315;6840;8601;76;-
09271152;      Wallerfing;207647;3479;388;6682;317;-;17;373;7587;-;-;-;160970;25693;196;1888;57;-
09271153;      Winzer, M;276186;9948;878;7267;474;1205;160;905;11335;-;262;-;149748;72216;11388;10276;124;-
09272;    Freyung-Grafenau (Lkr);9841471;248409;33801;173466;13755;7336;8548;39132;369044;6732;8612;406;3013997;5649971;71514;193979;2769;-
09272116;      Eppenschlag;170284;3267;239;3532;574;-;171;79;7459;-;-;-;73850;77639;1235;2205;34;-
09272118;      Freyung, St;486437;17457;2256;15539;1003;100;814;1253;22571;559;58;-;166670;241147;4210;12565;235;-
09272119;      Fürsteneck;104308;2796;294;2509;184;-;-;131;4412;-;-;-;51000;38407;2816;1759;-;-
09272120;      Grafenau, St;637437;22372;5789;16100;1029;-;1522;3433;30810;1739;-;-;267509;269401;5609;11899;225;-
09272121;      Grainet;361282;7197;755;5450;489;52;272;734;11431;-;-;-;126183;203380;1382;3903;54;-
09272122;      Haidmühle;210396;5669;271;5338;258;-;49;574;7417;-;249;-;67118;109441;1185;12787;40;-
09272126;      Hinterschmiding;210357;7346;645;3700;367;-;87;544;9011;-;206;350;89742;91903;1070;5342;44;-
09272127;      Hohenau;431145;10597;808;6814;876;-;368;599;17537;-;709;11;164915;211108;3623;13059;121;-
09272128;      Innernzell;221257;5215;1286;4617;180;-;55;501;9565;-;-;-;97947;96144;1183;4535;29;-
09272129;      Jandelsbrunn;423961;10946;3057;9929;418;-;56;6868;18886;-;-;-;224848;141226;1825;5806;96;-
09272134;      Mauth;288860;8954;799;4064;629;46;406;1314;11275;-;112;-;84861;164277;1205;10918;-;-
09272136;      Neureichenau;463916;19268;2501;12418;1473;-;164;1910;18894;-;-;-;226319;164470;2918;13499;82;-
09272138;      Perlesreut, M;297396;9134;1097;7238;297;-;71;627;13896;-;-;-;154558;98377;4004;8038;59;-
09272139;      Philippsreut;102259;3065;26;1730;373;-;718;772;4988;-;46;43;24357;59334;264;6519;24;-
09272140;      Ringelai;163697;6000;398;3579;225;-;20;543;7009;-;-;-;64926;75782;1075;4080;60;-
09272141;      Röhrnbach, M;406290;12281;4708;9972;658;878;198;1342;22121;717;-;-;210965;126697;3196;12442;115;-
09272142;      Saldenburg;280468;7363;325;3862;325;729;17;597;10891;-;-;-;60597;187962;1728;5993;79;-
09272143;      Sankt Oswald-Riedlhütte;403532;9370;680;4559;195;-;333;5026;9501;24;6158;-;54402;298433;6356;8323;172;-
09272145;      Schöfweg;158823;4599;272;3044;192;-;122;185;6181;-;-;-;59385;80871;213;3719;40;-
09272146;      Neuschönau;275148;6901;1134;5468;743;-;112;3281;8807;-;253;-;51465;191626;1376;3816;166;-
09272147;      Schönberg, M;327531;11912;1976;7720;320;1693;231;604;16277;-;-;-;137065;137257;3948;8413;115;-
09272149;      Spiegelau;404076;13788;1228;6374;556;-;1089;945;11649;1519;776;-;56753;301001;2494;5462;442;-
09272150;      Thurmansbang;329364;8060;992;6142;1049;593;142;843;16688;-;45;-;92406;194904;1699;5691;110;-
09272151;      Waldkirchen, St;800392;30531;1665;20028;1061;3245;1522;4901;38080;2174;-;-;332373;342456;6827;15204;325;-
09272152;      Zenting;217462;4307;600;3404;181;-;9;351;6880;-;-;2;71070;124080;1363;5113;102;-
09272444;      Gemeindefreie Gebiete;1665393;14;-;336;100;-;-;1175;26808;-;-;-;2713;1622648;8710;2889;-;-
09273;    Kelheim (Lkr);10662789;234782;87141;217091;33470;38580;9035;32720;445321;14114;1875;1358;4983930;4223570;132112;202796;4894;-
09273111;      Abensberg, St;603136;26436;4483;17082;1471;2650;1049;2773;25912;2682;-;-;325659;176222;2912;13507;298;-
09273113;      Aiglsbach;398836;2906;188;7230;114;1717;69;216;15557;-;-;-;198110;160663;4328;7669;69;-
09273115;      Attenhofen;314461;2712;161;6472;86;746;8;477;8231;-;-;-;203939;88315;513;2745;56;-
09273116;      Bad Abbach, M;553084;20101;1353;12767;547;2623;827;5543;30287;2015;15;-;283975;160786;19047;12975;223;-
09273119;      Biburg;142137;3379;1314;3300;416;116;26;228;7259;-;-;-;102202;20550;1376;1940;31;-
09273121;      Essing, M;173371;2548;331;1670;10;394;45;349;6420;43;-;-;28997;124476;5039;3016;33;-
09273125;      Hausen;346200;5002;687;6885;1665;74;7;845;16935;-;443;-;190052;115706;1171;6660;68;-
09273127;      Herrngiersdorf;250966;2604;1287;6383;61;806;13;203;8915;-;-;-;168102;57314;964;4251;63;-
09273133;      Ihrlerstein;230490;12407;515;2962;69;-;54;270;7470;-;-;-;45321;157821;43;3441;117;-
09273137;      Kelheim, St;767651;31141;10726;16540;4041;1157;786;2754;34498;3918;-;-;288091;333591;22345;17201;862;-
09273139;      Kirchdorf;165028;1940;113;4303;28;646;14;188;8080;-;33;-;111383;33842;359;4066;33;-
09273141;      Langquaid, M;567062;11816;1978;13956;574;688;393;817;26278;489;-;-;318300;175666;2753;13069;285;-
09273147;      Mainburg, St;615821;24372;9275;21466;812;5341;835;2634;30124;105;229;-;351165;150922;3113;14847;581;-
09273152;      Neustadt a.d.Donau, St;936064;24422;34481;24529;16770;1304;2422;3905;43987;2867;876;-;543948;179894;28631;26864;1164;-
09273159;      Painten, M;137905;5397;2377;3766;900;4307;54;505;4868;-;-;-;86082;27443;122;2033;51;-
09273163;      Elsendorf;326555;3773;1717;7315;639;347;35;348;15682;-;-;29;196725;92036;1757;6076;76;-
09273164;      Riedenburg, St;1003851;12542;4501;13441;1301;686;763;2072;42147;230;-;1329;374873;517601;17158;15072;135;-
09273165;      Rohr i.NB, M;541637;6943;2024;13985;266;1329;73;779;25787;-;37;-;358413;123725;2421;5764;91;-
09273166;      Saal a.d.Donau;440230;11607;3777;8080;1752;9925;192;1050;19493;1614;177;-;214846;152489;9011;6012;205;-
09273172;      Siegenburg, M;255758;6905;1744;7855;191;-;68;437;17137;-;-;-;150878;57311;3579;9505;148;-
09273175;      Teugn;170783;3634;105;2528;694;-;21;5199;4712;-;-;-;86996;63821;242;2763;68;-
09273177;      Train;101620;4728;1572;2977;89;-;67;354;6756;-;-;-;57624;22450;807;4146;50;-
09273178;      Volkenschwand;292547;3891;1535;7582;282;1977;1189;453;9632;-;65;-;202117;59218;627;3834;145;-
09273181;      Wildenberg;181728;3555;897;3931;520;-;25;293;7223;-;-;-;93057;67786;1243;3156;42;-
09273444;      Gemeindefreie Gebiete;1145868;21;-;86;172;1747;-;28;21931;151;-;-;3075;1103922;2551;12184;-;-
09274;    Landshut (Lkr);13478795;313699;50968;419613;26669;43267;10339;34146;548970;21405;199;-;8614607;3072796;102128;215061;4928;-
09274111;      Adlkofen;478665;8901;1895;15148;815;2596;128;581;18562;-;-;-;311416;112630;626;5280;87;-
09274112;      Aham;380208;4609;366;11167;234;1240;62;362;12814;-;-;-;235114;108988;2168;3028;56;-
09274113;      Altdorf, M;229977;17960;1913;8580;427;-;665;1167;17234;716;-;-;106258;67184;726;6672;475;-
09274114;      Altfraunhofen;242937;4504;387;8819;161;-;22;306;7021;-;-;-;173725;43568;923;3462;39;-
09274118;      Baierbach;167659;1986;196;5057;64;-;15;185;5145;-;-;-;128131;21802;825;4219;34;-
09274119;      Bayerbach b.Ergoldsbach;254141;4897;456;6523;899;1267;115;342;9008;-;-;-;166829;57855;288;5611;51;-
09274120;      Bodenkirchen;620055;12288;2259;20961;455;193;424;753;26250;1851;-;-;417609;128665;1318;6879;150;-
09274121;      Buch a.Erlbach;267315;8688;602;9680;261;1140;51;320;8857;-;199;-;177709;53608;1804;4233;163;-
09274124;      Eching;301465;8595;819;9549;476;489;704;718;14571;1;-;-;156691;81879;20183;6709;81;-
09274126;      Ergolding, M;371703;18785;5671;14076;1239;1220;800;1683;24290;1645;-;-;193075;99029;3266;6752;172;-
09274127;      Ergoldsbach, M;569934;16355;1970;14608;238;1353;545;2802;22491;1910;-;-;341887;156836;575;8126;238;-
