GENESIS-Tabelle: 13111-001;;;;;;;
Sozialversicherungspflichtig Beschäftigte: Gemeinden,;;;;;;;
Beschäftigte am Arbeitsort/Beschäftigte am Wohnort,;;;;;;;
Stichtag (letzte 6);;;;;;;
Beschäftigungsstatistik;;;;;;;
;;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort
;;30.06.2011;30.06.2012;30.06.2013;30.06.2014;30.06.2015;30.06.2016
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09374166;      Weiherhammer;2285;2333;2361;2232;2238;2301
09374168;      Windischeschenbach, St;1105;1205;1269;1327;1368;1397
09374170;      Bechtsrieth;76;61;69;76;82;84
09374444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09375;    Regensburg (Lkr);38010;39458;40092;41022;42463;44430
09375113;      Alteglofsheim;412;413;470;478;413;460
09375114;      Altenthann;165;179;172;172;123;126
09375115;      Aufhausen;94;101;116;108;106;108
09375116;      Bach a.d.Donau;246;252;278;253;265;229
09375117;      Barbing;1242;1286;1291;1360;1438;1430
09375118;      Beratzhausen, M;601;614;597;620;647;636
09375119;      Bernhardswald;376;371;380;410;407;393
09375120;      Brennberg;178;192;201;207;250;298
09375122;      Brunn;64;67;65;63;70;80
09375127;      Deuerling;105;115;121;127;142;154
09375130;      Donaustauf, M;918;801;807;905;890;863
09375131;      Duggendorf;76;73;76;78;78;90
09375143;      Hagelstadt;234;242;253;269;281;296
09375148;      Hemau, St;1414;1366;1386;1433;1465;1522
09375153;      Holzheim a.Forst;11;12;13;15;17;19
09375156;      Kallmünz, M;539;554;544;532;549;563
09375161;      Köfering;147;147;135;146;173;184
09375162;      Laaber, M;605;628;698;710;739;776
09375165;      Lappersdorf, M;1730;1740;1732;1767;1773;1869
09375170;      Mintraching;1014;1221;1261;1176;1243;1330
09375171;      Mötzing;43;53;55;55;59;60
09375174;      Neutraubling, St;11731;12401;12522;12712;12957;13780
09375175;      Nittendorf, M;1183;1113;1124;1168;1184;1202
09375179;      Obertraubling;2647;2739;2825;2809;2926;3025
09375180;      Pentling;788;841;899;936;940;937
09375181;      Pettendorf;221;225;232;255;250;241
09375182;      Pfakofen;179;190;217;205;200;197
09375183;      Pfatter;346;362;370;368;378;392
09375184;      Pielenhofen;148;132;136;127;128;126
09375190;      Regenstauf, M;3994;4148;4030;4325;4572;4754
09375191;      Riekofen;78;78;92;94;107;120
09375196;      Schierling, M;1927;2027;2008;2158;2512;2755
09375199;      Sinzing;651;676;672;694;788;885
09375201;      Sünching;411;419;429;427;429;448
09375204;      Tegernheim;283;383;437;468;444;475
09375205;      Thalmassing;134;143;149;142;146;150
09375208;      Wenzenbach;606;596;604;598;750;752
09375209;      Wiesent;161;155;144;147;140;144
09375210;      Wörth a.d.Donau, St;1810;1910;2036;1962;1964;2011
09375211;      Wolfsegg;93;97;104;111;111;121
09375213;      Zeitlarn;405;396;411;432;409;429
09375444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09376;    Schwandorf (Lkr);48456;49614;50516;52164;52974;53429
09376112;      Altendorf;75;66;69;73;188;194
09376116;      Bodenwöhr;1071;1105;1165;1204;1163;1125
09376117;      Bruck i.d.OPf., M;1106;1158;1195;1243;1296;1334
09376119;      Burglengenfeld, St;2934;2974;3012;3087;3163;3108
09376122;      Dieterskirchen;74;80;79;80;81;86
09376125;      Fensterbach;509;549;568;607;641;680
09376131;      Gleiritsch;.;.;.;.;.;.
09376133;      Guteneck;56;66;73;82;94;98
09376141;      Maxhütte-Haidhof, St;2723;2834;3017;2968;3027;2965
09376144;      Nabburg, St;2595;2670;2690;2800;2835;2825
09376146;      Neukirchen-Balbini, M;95;100;90;86;100;90
09376147;      Neunburg vorm Wald, St;3441;3624;3764;3840;3937;3960
09376148;      Niedermurach;126;126;115;122;114;125
09376149;      Nittenau, St;2539;2536;2519;2569;2620;2675
09376150;      Wernberg-Köblitz, M;3400;3376;3456;3641;3553;3495
09376151;      Oberviechtach, St;1741;1668;1652;1614;1600;1606
09376153;      Pfreimd, St;1768;1940;1967;2015;2068;2139
09376159;      Schmidgaden;316;366;394;377;393;430
09376160;      Schönsee, St;832;855;888;924;915;958
09376161;      Schwandorf, GKSt;12733;12869;12729;13344;14068;13977
09376162;      Schwarzach b.Nabburg;105;106;109;108;104;97
09376163;      Schwarzenfeld, M;1733;1772;1822;1890;2009;2092
09376164;      Schwarzhofen, M;206;218;234;250;195;198
09376167;      Stadlern;.;.;.;.;.;.
09376168;      Steinberg am See;132;155;144;163;166;162
09376169;      Stulln;383;381;411;422;434;489
09376170;      Teublitz, St;1439;1550;1514;1472;1538;1676
09376171;      Teunz;439;451;481;517;460;497
09376172;      Thanstein;63;62;66;74;76;88
09376173;      Trausnitz;38;41;47;46;46;47
09376175;      Wackersdorf;5189;5297;5605;5875;5407;5520
09376176;      Weiding;91;89;85;107;115;114
09376178;      Winklarn, M;234;233;240;254;248;244
09376444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09377;    Tirschenreuth (Lkr);21549;21993;22484;22904;23389;23778
09377112;      Bärnau, St;577;594;619;616;585;611
09377113;      Brand;430;458;475;479;477;467
09377115;      Ebnath;153;152;159;149;156;169
09377116;      Erbendorf, St;1564;1614;1704;1772;1797;1868
09377117;      Falkenberg, M;170;190;202;220;245;281
09377118;      Friedenfels;188;194;188;202;201;208
09377119;      Fuchsmühl, M;148;158;174;177;187;193
09377127;      Immenreuth;376;383;393;398;397;434
09377128;      Kastl;190;204;215;225;192;168
09377129;      Kemnath, St;3190;3204;3239;3338;3298;3294
09377131;      Konnersreuth, M;312;347;345;356;386;399
09377132;      Krummennaab;102;69;69;65;69;66
09377133;      Kulmain;120;118;114;117;123;123
09377137;      Leonberg;40;41;37;36;35;41
09377139;      Mähring, M;173;169;172;178;185;201
09377141;      Mitterteich, St;3043;3065;3130;3095;3211;3277
09377142;      Neualbenreuth, M;222;238;230;249;269;272
09377143;      Neusorg;258;270;275;285;292;323
09377145;      Pechbrunn;123;123;120;122;118;127
09377146;      Plößberg, M;1259;1312;1368;1424;1526;1567
09377148;      Pullenreuth;354;364;372;384;367;280
09377149;      Reuth b.Erbendorf;83;87;88;80;86;92
09377154;      Tirschenreuth, St;4113;4288;4394;4404;4455;4403
09377157;      Waldershof, St;850;884;954;980;1061;1188
09377158;      Waldsassen, St;2293;2277;2275;2311;2356;2363
09377159;      Wiesau, M;1218;1190;1173;1242;1315;1363
09377444;      Gemeindefreie Gebiete;-;-;-;-;-;-
094;  Oberfranken;391119;398339;400126;405402;412007;417401
09461;    Bamberg (Krfr.St);49372;49503;49681;50257;52259;53070
09462;    Bayreuth (Krfr.St);42483;43239;43767;44448;45150;46269
09463;    Coburg (Krfr.St);31550;32374;33086;33369;33727;33882
09464;    Hof (Krfr.St);23720;23638;23526;23589;23605;24303
09471;    Bamberg (Lkr);31510;32866;33541;34606;35455;36129
09471111;      Altendorf;893;981;1043;1011;983;999
09471115;      Baunach, St;749;876;884;888;916;897
09471117;      Bischberg;710;708;837;824;868;857
09471119;      Breitengüßbach;1004;1101;1081;1109;1097;1097
09471120;      Burgebrach, M;2184;2325;2478;2449;2444;2348
09471122;      Burgwindheim, M;204;211;214;219;237;250
09471123;      Buttenheim, M;1209;1290;1305;1288;1322;1354
09471128;      Ebrach, M;379;381;392;407;408;444
09471131;      Frensdorf;388;377;393;388;416;374
09471133;      Gerach;.;73;72;234;208;209
09471137;      Gundelsheim;270;276;272;225;228;230
09471140;      Hallstadt, St;6022;6148;6211;6541;6633;6828
09471142;      Heiligenstadt i.OFr., M;727;691;679;676;702;715
09471145;      Hirschaid, M;3726;3781;3776;3857;3927;4079
09471150;      Kemmern;253;249;253;238;256;284
09471151;      Königsfeld;195;199;204;210;210;213
09471152;      Lauter;117;125;126;115;.;142
09471154;      Lisberg;273;268;275;283;289;296
09471155;      Litzendorf;475;487;511;536;626;679
09471159;      Memmelsdorf;782;813;848;841;867;884
09471165;      Oberhaid;446;455;460;468;489;501
09471169;      Pettstadt;272;266;274;283;321;302
09471172;      Pommersfelden;562;644;649;599;596;591
09471173;      Priesendorf;152;173;186;192;185;210
09471174;      Rattelsdorf, M;442;459;498;531;570;581
09471175;      Reckendorf;168;178;160;176;182;180
09471185;      Scheßlitz, St;2205;2264;2412;2792;2885;3011
09471186;      Schönbrunn i.Steigerwald;140;147;142;134;131;.
09471189;      Stadelhofen;118;131;134;143;162;210
09471191;      Stegaurach;765;683;658;614;629;635
09471195;      Strullendorf;1765;1951;1918;2023;2084;2173
09471207;      Viereth-Trunstadt;494;536;508;458;466;506
09471208;      Walsdorf;368;361;379;360;351;331
09471209;      Wattendorf;.;41;43;45;.;.
09471214;      Zapfendorf, M;788;817;851;861;900;842
09471220;      Schlüsselfeld, St;2153;2400;2415;2588;2697;2699
09471444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09472;    Bayreuth (Lkr);22314;22908;22611;22692;22909;23069
09472111;      Ahorntal;327;305;314;284;280;272
09472115;      Aufseß;181;188;201;203;207;215
09472116;      Bad Berneck i.Fichtelgebirge, St;1004;1053;1035;1004;1004;1046
09472118;      Betzenstein, St;327;343;367;385;370;375
09472119;      Bindlach;3609;3661;3655;3531;3573;3565
09472121;      Bischofsgrün;496;500;490;496;503;494
09472127;      Creußen, St;798;865;894;993;1006;992
09472131;      Eckersdorf;454;472;474;450;441;453
09472133;      Emtmannsberg;57;54;57;61;61;64
09472138;      Fichtelberg;353;359;333;329;344;360
09472139;      Gefrees, St;1250;1271;1040;1077;1075;1122
09472140;      Gesees;227;234;245;257;259;268
09472141;      Glashütten;157;144;142;146;150;158
09472143;      Goldkronach, St;693;706;650;644;628;632
09472146;      Haag;104;124;124;119;119;108
09472150;      Heinersreuth;500;494;517;538;580;612
09472154;      Hollfeld, St;757;740;761;813;849;889
09472155;      Hummeltal;203;188;203;200;208;204
09472156;      Kirchenpingarten;117;87;92;98;95;105
09472164;      Mehlmeisel;65;53;57;59;63;67
09472166;      Mistelbach;287;301;332;320;329;331
09472167;      Mistelgau;960;990;1004;1046;1014;964
09472175;      Pegnitz, St;4952;5221;5078;4994;5072;5107
09472176;      Plankenfels;65;67;58;60;62;61
09472177;      Plech, M;207;245;239;244;230;237
09472179;      Pottenstein, St;750;786;810;818;835;828
09472180;      Prebitz;69;69;74;69;72;62
09472184;      Schnabelwaid, M;45;43;45;49;58;53
09472188;      Seybothenreuth;111;98;93;102;95;107
09472190;      Speichersdorf;1049;1053;1043;1046;1034;1081
09472197;      Waischenfeld, St;497;493;489;508;518;505
09472198;      Warmensteinach;382;389;390;390;411;402
09472199;      Weidenberg, M;1261;1312;1305;1359;1364;1330
09472444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09473;    Coburg (Lkr);26819;27084;27018;27877;28018;28075
09473112;      Ahorn;1561;1683;1730;2155;2183;2135
09473120;      Dörfles-Esbach;1374;1407;1406;1347;1321;1345
09473121;      Ebersdorf b.Coburg;2838;2831;2848;2870;2852;2842
09473132;      Großheirath;383;391;390;404;427;430
09473134;      Grub a.Forst;668;684;659;636;642;618
09473138;      Itzgrund;223;251;266;264;246;248
09473141;      Lautertal;496;496;496;536;540;541
09473144;      Meeder;854;850;862;901;1004;1080
09473151;      Neustadt b.Coburg, GKSt;4895;4930;4889;4982;5223;5238
09473153;      Niederfüllbach;575;528;491;462;464;467
09473158;      Bad Rodach, St;3664;3724;3796;4036;4044;4001
09473159;      Rödental, St;4110;4172;3911;3779;3616;3533
09473165;      Seßlach, St;1005;1049;1087;1085;1136;1158
09473166;      Sonnefeld;1423;1436;1507;1649;1603;1629
09473170;      Untersiemau;1244;1220;1218;1282;1220;1262
09473174;      Weidhausen b.Coburg;1187;1194;1200;1226;1213;1247
09473175;      Weitramsdorf;319;238;262;263;284;301
09473444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09474;    Forchheim (Lkr);25525;26681;27234;28502;29090;29309
09474119;      Dormitz;85;93;106;112;150;158
09474121;      Ebermannstadt, St;2381;2459;2562;2587;2651;2685
09474122;      Effeltrich;287;283;298;335;338;378
09474123;      Eggolsheim, M;1050;1089;1134;1226;1247;1290
09474124;      Egloffstein, M;233;255;270;269;288;295
09474126;      Forchheim, GKSt;13412;14018;14282;14882;15201;15238
09474129;      Gößweinstein, M;445;453;450;464;457;432
09474132;      Gräfenberg, St;796;836;845;864;906;894
09474133;      Hallerndorf;585;608;708;764;756;730
09474134;      Hausen;275;291;301;337;382;406
09474135;      Heroldsbach;382;381;382;413;437;427
09474137;      Hetzles;140;204;232;260;127;130
09474138;      Hiltpoltstein, M;141;146;148;163;174;187
09474140;      Igensdorf, M;589;551;498;581;571;564
09474143;      Kirchehrenbach;196;187;198;195;200;207
09474144;      Kleinsendelbach;53;56;57;57;70;73
09474145;      Kunreuth;91;100;90;103;111;106
09474146;      Langensendelbach;241;263;249;258;261;270
09474147;      Leutenbach;129;128;127;123;113;104
09474154;      Neunkirchen a.Brand, M;1648;1862;1857;1929;1967;1995
09474156;      Obertrubach;598;607;656;699;689;706
09474158;      Pinzberg;100;105;94;97;91;96
09474160;      Poxdorf;129;139;123;131;140;138
09474161;      Pretzfeld, M;555;534;518;537;600;594
09474168;      Unterleinleiter;153;179;182;185;197;210
09474171;      Weilersbach;103;101;98;99;104;111
09474173;      Weißenohe;150;162;173;198;210;221
09474175;      Wiesenthau;98;105;108;114;121;132
09474176;      Wiesenttal, M;480;486;488;520;531;532
09475;    Hof (Lkr);33425;34398;34289;34623;35420;36006
09475112;      Bad Steben, M;1809;1803;1744;1687;1693;1691
09475113;      Berg;851;901;913;963;971;981
09475120;      Döhlau;868;800;819;790;743;739
09475123;      Feilitzsch;573;595;603;615;638;641
09475127;      Gattendorf;203;239;251;259;275;297
09475128;      Geroldsgrün;575;562;559;541;514;518
09475136;      Helmbrechts, St;3841;3798;3862;3918;4018;4086
09475137;      Issigau;118;121;123;145;147;153
09475141;      Köditz;303;323;331;315;338;361
09475142;      Konradsreuth;1277;1713;1693;1706;1769;1308
09475145;      Leupoldsgrün;218;218;227;304;310;305
09475146;      Lichtenberg, St;91;91;85;81;72;75
09475154;      Münchberg, St;4239;4249;4270;4141;4238;4024
09475156;      Naila, St;3752;3764;3497;3486;3373;3787
09475158;      Oberkotzau, M;1630;1709;1799;1810;1784;1787
09475161;      Regnitzlosau;380;319;300;309;314;307
09475162;      Rehau, St;5097;5279;5290;5361;5507;5544
09475165;      Schauenstein, St;330;349;326;323;312;312
09475168;      Schwarzenbach a.d.Saale, St;2128;2167;2210;2185;2278;2402
09475169;      Schwarzenbach a.Wald, St;740;770;743;742;745;858
09475171;      Selbitz, St;1214;1251;1254;1308;1327;1361
09475174;      Sparneck, M;408;408;341;357;357;358
09475175;      Stammbach, M;482;461;461;468;448;438
09475181;      Töpen;1584;1749;1849;2098;2566;2999
09475182;      Trogen;123;129;119;116;104;109
09475184;      Weißdorf;159;194;198;171;168;153
09475189;      Zell im Fichtelgebirge, M;432;436;422;424;411;412
09475444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09476;    Kronach (Lkr);24954;25017;24481;24438;24691;25015
09476145;      Kronach, St;10901;11098;10796;10553;10701;11035
09476146;      Küps, M;1895;1658;1559;1594;1583;1588
09476152;      Ludwigsstadt, St;1253;1299;1284;1298;1351;1390
09476154;      Mitwitz, M;792;765;763;733;765;736
09476159;      Nordhalben, M;430;329;215;207;209;216
09476164;      Pressig, M;982;990;975;996;1019;1071
09476166;      Reichenbach;.;45;51;.;.;.
09476171;      Schneckenlohe;188;178;159;155;141;152
09476175;      Steinbach a.Wald;1125;1212;1288;1312;1377;1373
09476177;      Steinwiesen, M;675;672;679;699;707;717
09476178;      Stockheim;1391;1416;1397;1473;1486;1517
09476179;      Tettau, M;2367;2437;2441;2442;2416;2355
09476180;      Teuschnitz, St;353;349;331;358;357;342
09476182;      Tschirn;.;142;146;.;.;.
09476183;      Marktrodach, M;661;692;681;703;719;708
09476184;      Wallenfels, St;639;628;629;635;618;617
09476185;      Weißenbrunn;619;648;622;612;565;518
09476189;      Wilhelmsthal;516;459;465;463;469;470
09476444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09477;    Kulmbach (Lkr);25599;26120;26208;26075;26342;26460
09477117;      Grafengehaig, M;170;162;146;96;88;82
09477118;      Guttenberg;39;37;38;41;40;50
09477119;      Harsdorf;89;91;89;89;92;93
09477121;      Himmelkron;1958;2073;2354;2304;2350;2401
09477124;      Kasendorf, M;1150;1281;1209;1204;1216;1271
09477127;      Ködnitz;106;112;96;102;98;94
09477128;      Kulmbach, GKSt;14417;14490;14581;14653;14617;14561
09477129;      Kupferberg, St;161;159;152;162;132;130
09477135;      Ludwigschorgast, M;66;69;74;74;99;94
09477136;      Mainleus, M;1643;1686;1560;1537;1555;1538
09477138;      Marktleugast, M;510;544;558;561;592;604
09477139;      Marktschorgast, M;591;621;619;593;612;586
09477142;      Neudrossenfeld;585;570;544;599;582;616
09477143;      Neuenmarkt;656;700;634;597;624;657
09477148;      Presseck, M;300;295;287;247;270;257
09477151;      Rugendorf;222;215;220;229;284;281
09477156;      Stadtsteinach, St;710;737;753;841;882;872
09477157;      Thurnau, M;912;934;934;938;969;964
09477158;      Trebgast;96;96;96;96;91;93
09477159;      Untersteinach;649;666;668;521;537;608
09477163;      Wirsberg, M;414;423;440;440;462;465
09477164;      Wonsees, M;155;159;156;151;150;143
09478;    Lichtenfels (Lkr);27060;27569;27580;27622;27573;27668
09478111;      Altenkunstadt;2715;2601;2411;2409;2362;2410
09478116;      Burgkunstadt, St;3909;4032;3986;3961;3867;3771
09478120;      Ebensfeld, M;1594;1645;1678;1695;1749;1745
09478127;      Hochstadt a.Main;647;642;615;604;566;498
09478139;      Lichtenfels, St;7165;7220;7402;7528;7630;7840
09478143;      Marktgraitz, M;178;200;201;197;202;195
09478144;      Marktzeuln, M;289;301;301;309;307;324
09478145;      Michelau i.OFr.;3728;3974;4028;3961;3882;3773
09478155;      Redwitz a.d.Rodach;1414;1480;1509;1523;1508;1499
09478165;      Bad Staffelstein, St;3567;3630;3628;3578;3583;3670
09478176;      Weismain, St;1854;1844;1821;1857;1917;1943
09478444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09479;    Wunsiedel i.Fichtelgebirge (Lkr);26788;26942;27104;27304;27768;28146
09479111;      Bad Alexandersbad;405;397;368;285;289;282
09479112;      Arzberg, St;1265;1096;1072;1079;1084;1087
09479126;      Höchstädt i.Fichtelgebirge;177;176;183;178;180;187
09479127;      Hohenberg a.d.Eger, St;399;397;368;368;366;359
09479129;      Kirchenlamitz, St;356;302;292;311;319;349
09479135;      Marktleuthen, St;487;495;510;508;508;540
09479136;      Marktredwitz, GKSt;9371;9403;9492;9732;10005;9977
09479138;      Nagel;147;145;135;131;124;134
09479145;      Röslau;339;350;358;410;435;439
09479147;      Schirnding, M;419;430;395;202;192;190
09479150;      Schönwald, St;880;889;900;894;913;974
09479152;      Selb, GKSt;6667;6759;6928;7061;7197;7518
09479158;      Thiersheim, M;534;517;517;534;530;523
09479159;      Thierstein, M;168;167;159;171;175;175
09479161;      Tröstau;350;358;335;311;321;311
09479166;      Weißenstadt, St;1086;1104;1125;1161;1179;1202
09479169;      Wunsiedel, St;3738;3957;3967;3968;3951;3899
09479444;      Gemeindefreie Gebiete;-;-;-;-;-;-
095;  Mittelfranken;689812;705904;714192;726044;741565;757782
09561;    Ansbach (Krfr.St);25229;25170;24881;24685;25703;26359
09562;    Erlangen (Krfr.St);85263;87272;88472;88913;89070;89552
09563;    Fürth (Krfr.St);39840;41245;40775;42382;45081;46138
09564;    Nürnberg (Krfr.St);272040;276613;279891;284553;289749;295360
09565;    Schwabach (Krfr.St);14069;14610;14750;14946;15262;15801
09571;    Ansbach (Lkr);53660;55111;56178;57081;57609;58912
09571111;      Adelshofen;100;97;106;108;115;129
09571113;      Arberg, M;196;228;220;230;226;203
09571114;      Aurach;771;826;885;920;892;860
09571115;      Bechhofen, M;1785;1825;1814;1862;1813;2014
09571122;      Bruckberg;1176;1222;1195;1223;1206;1136
09571125;      Buch a.Wald;80;93;94;100;109;107
09571127;      Burgoberbach;308;308;406;402;403;495
09571128;      Burk;242;235;219;227;232;251
09571130;      Colmberg, M;330;358;355;355;368;385
09571132;      Dentlein a.Forst, M;263;255;255;268;271;266
09571134;      Diebach;33;40;41;36;36;38
09571135;      Dietenhofen, M;2202;2300;2535;2623;2644;2582
09571136;      Dinkelsbühl, GKSt;5196;5204;5188;5442;5474;5566
09571137;      Dombühl, M;522;655;654;644;680;678
09571139;      Dürrwangen, M;247;256;261;266;286;279
09571141;      Ehingen;209;218;224;240;261;272
09571145;      Feuchtwangen, St;5978;6149;6239;6286;6335;6487
09571146;      Flachslanden, M;280;290;296;335;370;373
09571152;      Gebsattel;207;220;229;233;236;236
09571154;      Gerolfingen;228;220;226;223;228;219
09571155;      Geslau;164;400;215;183;188;192
09571165;      Heilsbronn, St;2451;2978;3180;3138;3251;3276
09571166;      Herrieden, St;3223;3334;3514;3678;3740;3866
09571169;      Insingen;269;287;315;333;359;381
09571170;      Langfurth;182;189;191;214;212;225
09571171;      Lehrberg, M;225;220;244;241;227;254
09571174;      Leutershausen, St;1180;1228;1240;1275;1254;1291
09571175;      Lichtenau, M;975;1014;1017;1026;1041;1120
09571177;      Merkendorf, St;937;979;1048;921;826;843
09571178;      Mitteleschenbach;105;110;111;123;158;134
09571179;      Mönchsroth;275;293;287;299;299;321
09571180;      Neuendettelsau;3810;3365;3333;3258;3203;3212
09571181;      Neusitz;230;257;282;316;346;344
09571183;      Oberdachstetten;100;104;120;138;141;151
09571188;      Ohrenbach;145;149;142;139;143;141
09571189;      Ornbau, St;127;126;132;132;128;156
09571190;      Petersaurach;707;735;736;718;680;713
09571192;      Röckingen;46;52;54;58;70;74
09571193;      Rothenburg ob der Tauber, GKSt;6927;6898;7002;7075;7160;7346
09571194;      Rügland;193;209;188;188;179;189
09571196;      Sachsen b.Ansbach;512;538;557;577;578;616
09571198;      Schillingsfürst, St;911;919;913;939;972;948
09571199;      Schnelldorf;1137;1220;1339;1408;1399;1448
09571200;      Schopfloch, M;527;543;528;544;525;527
09571205;      Steinsfeld;358;371;402;448;482;522
09571208;      Unterschwaningen;83;92;91;91;99;97
09571214;      Wassertrüdingen, St;2556;2483;2434;2321;2348;2388
09571216;      Weidenbach, M;478;517;533;563;601;624
09571217;      Weihenzell;387;416;430;426;455;474
09571218;      Weiltingen, M;165;172;174;185;183;193
09571222;      Wettringen;64;72;83;89;98;104
09571223;      Wieseth;170;168;176;184;175;171
09571224;      Wilburgstetten;900;889;911;988;965;999
09571225;      Windelsbach;110;114;119;125;127;138
09571226;      Windsbach, St;1328;1369;1386;1397;1417;1426
09571227;      Wittelshofen;136;116;97;96;99;109
09571228;      Wörnitz;738;702;709;709;770;763
09571229;      Wolframs-Eschenbach, St;476;484;503;515;526;560
09571444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09572;    Erlangen-Höchstadt (Lkr);41120;42996;43897;44960;46598;48579
09572111;      Adelsdorf;1288;1272;1254;1375;1421;1425
09572114;      Aurachtal;337;345;348;367;356;374
09572115;      Baiersdorf, St;1542;1656;1634;1672;1685;1757
09572119;      Bubenreuth;718;757;767;833;815;800
09572120;      Buckenhof;263;276;281;280;309;326
09572121;      Eckental, M;2387;2547;2578;2595;2733;2849
09572126;      Gremsdorf;1765;1474;1415;1396;1421;1446
09572127;      Großenseebach;166;178;201;187;199;195
09572130;      Hemhofen;564;599;588;551;646;648
09572131;      Heroldsberg, M;2805;2847;2877;2956;3014;3082
09572132;      Herzogenaurach, St;17829;19200;19876;20364;21374;22556
09572133;      Heßdorf;892;942;988;981;987;965
09572135;      Höchstadt a.d.Aisch, St;4561;4714;4747;4880;4893;5077
09572137;      Kalchreuth;590;500;508;553;578;588
09572139;      Lonnerstadt, M;186;168;169;171;175;173
09572141;      Marloffstein;106;103;112;115;100;109
09572142;      Möhrendorf;450;476;490;478;501;536
09572143;      Mühlhausen, M;213;223;226;239;226;233
09572147;      Oberreichenbach;39;45;48;54;68;79
09572149;      Röttenbach;949;959;1005;1024;1064;1211
09572154;      Spardorf;91;96;101;108;135;146
09572158;      Uttenreuth;585;581;584;603;634;641
09572159;      Vestenbergsgreuth, M;1105;1139;1140;1167;1214;1255
09572160;      Wachenroth, M;885;919;915;902;910;924
09572164;      Weisendorf, M;804;980;1045;1109;1140;1184
09572444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09573;    Fürth (Lkr);21564;21878;22599;22954;23053;23929
09573111;      Ammerndorf, M;374;396;371;373;380;379
09573114;      Cadolzburg, M;3028;3022;3100;3205;3336;3464
09573115;      Großhabersdorf;568;578;579;607;622;621
09573120;      Langenzenn, St;2951;3025;3274;3367;3469;3478
09573122;      Oberasbach, St;1862;1868;1957;1904;1916;2026
09573123;      Obermichelbach;482;529;574;577;429;461
09573124;      Puschendorf;353;341;358;360;354;363
09573125;      Roßtal, M;1005;1028;1055;1062;1131;1145
09573126;      Seukendorf;205;167;198;210;228;234
09573127;      Stein, St;2514;2604;2652;2683;2712;2841
09573129;      Tuchenbach;169;186;189;171;188;213
09573130;      Veitsbronn;1134;1226;1198;1191;1226;1337
09573133;      Wilhermsdorf, M;725;789;742;740;788;763
09573134;      Zirndorf, St;6194;6119;6352;6504;6274;6604
09574;    Nürnberger Land (Lkr);47922;49034;49289;50255;51798;52929
09574111;      Alfeld;.;.;.;.;200;.
09574112;      Altdorf b.Nürnberg, St;4787;4917;4978;5114;5147;5316
09574117;      Burgthann;1367;1360;1370;1430;1467;1502
09574120;      Engelthal;445;442;455;458;467;490
09574123;      Feucht, M;3243;3383;3498;3705;3873;3793
09574128;      Happurg;537;549;575;575;584;620
09574129;      Hartenstein;.;.;.;.;.;.
09574131;      Henfenfeld;225;204;197;246;254;218
09574132;      Hersbruck, St;4255;4389;4262;4335;4367;4396
09574135;      Kirchensittenbach;180;178;186;178;.;189
09574138;      Lauf a.d.Pegnitz, St;11185;11413;11655;11912;12268;12610
09574139;      Leinburg;1239;1352;1445;1574;1873;2030
09574140;      Neuhaus a.d.Pegnitz, M;772;766;756;730;736;718
09574141;      Neunkirchen a.Sand;1016;1050;986;1030;1084;1089
09574145;      Offenhausen;502;513;504;513;539;547
09574146;      Ottensoos;654;670;682;698;822;860
09574147;      Pommelsbrunn;910;932;921;981;1026;1057
09574150;      Reichenschwand;427;414;473;465;461;494
09574152;      Röthenbach a.d.Pegnitz, St;3794;3820;3787;3907;3994;4088
09574154;      Rückersdorf;1040;1051;1041;1054;1115;1137
09574155;      Schnaittach, M;1459;1504;1576;1558;1609;1767
09574156;      Schwaig b.Nürnberg;3242;3465;3343;3387;3401;3543
09574157;      Schwarzenbruck;3531;3516;3422;3298;3377;3367
09574158;      Simmelsdorf;399;374;316;303;342;334
09574160;      Velden, St;433;431;466;461;480;472
09574161;      Vorra;187;186;208;215;194;200
09574164;      Winkelhaid;481;507;509;491;500;557
09574444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09575;    Neustadt a.d.Aisch-Bad Windsheim (Lkr);28146;28972;29576;29949;30791;31650
09575112;      Bad Windsheim, St;5964;6294;6341;6450;6487;6611
09575113;      Baudenbach, M;72;70;87;85;83;76
09575115;      Burgbernheim, St;1463;1512;1759;1793;1867;1905
09575116;      Burghaslach, M;472;462;483;481;482;502
09575117;      Dachsbach, M;297;316;347;232;247;244
09575118;      Diespeck;769;793;786;779;769;788
