GENESIS-Tabelle: 13111-001;;;;;;;
Sozialversicherungspflichtig Beschäftigte: Gemeinden,;;;;;;;
Beschäftigte am Arbeitsort/Beschäftigte am Wohnort,;;;;;;;
Stichtag (letzte 6);;;;;;;
Beschäftigungsstatistik;;;;;;;
;;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort
;;30.06.2011;30.06.2012;30.06.2013;30.06.2014;30.06.2015;30.06.2016
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09179134;      Maisach;3042;3219;3506;3844;3965;4079
09179136;      Mammendorf;1126;1174;1215;1268;1278;1325
09179137;      Mittelstetten;116;117;119;129;134;133
09179138;      Moorenweis;655;670;694;699;690;738
09179140;      Oberschweinbach;214;212;208;189;238;250
09179142;      Olching, St;3739;3899;4008;4205;4354;4686
09179145;      Puchheim, St;4917;5156;5246;5478;5601;5919
09179147;      Schöngeising;137;148;158;166;181;188
09179149;      Türkenfeld;427;450;485;494;530;571
09180;    Garmisch-Partenkirchen (Lkr);24565;25138;25544;26011;26900;27490
09180112;      Bad Kohlgrub;399;373;350;345;363;360
09180113;      Bad Bayersoien;210;216;210;218;205;215
09180114;      Eschenlohe;463;499;349;414;410;425
09180115;      Ettal;327;341;352;341;340;337
09180116;      Farchant;693;732;699;670;677;727
09180117;      Garmisch-Partenkirchen, M;10122;10431;10667;10773;11120;11316
09180118;      Grainau;750;677;734;776;790;842
09180119;      Großweil;196;210;206;201;204;221
09180122;      Krün;625;640;633;652;725;776
09180123;      Mittenwald, M;1529;1521;1525;1553;1543;1551
09180124;      Murnau a.Staffelsee, M;5060;5216;5404;5490;5747;5905
09180125;      Oberammergau;1484;1499;1536;1634;1656;1658
09180126;      Oberau;572;583;637;655;702;701
09180127;      Ohlstadt;470;471;503;520;540;538
09180128;      Riegsee;.;91;83;.;.;.
09180129;      Saulgrub;333;341;366;372;407;439
09180131;      Schwaigen;.;.;67;.;.;.
09180132;      Seehausen a.Staffelsee;380;392;340;346;361;373
09180133;      Spatzenhausen;82;.;87;97;103;104
09180134;      Uffing a.Staffelsee;366;377;380;421;449;437
09180135;      Unterammergau;164;184;196;155;174;187
09180136;      Wallgau;193;200;220;226;228;224
09180444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09181;    Landsberg am Lech (Lkr);31310;31952;32871;33767;34802;35942
09181111;      Apfeldorf;104;110;123;135;156;125
09181113;      Denklingen;2143;2223;2275;2473;2553;2619
09181114;      Dießen am Ammersee, M;1629;1690;1772;1810;1879;1973
09181115;      Eching am Ammersee;301;323;324;319;322;347
09181116;      Egling a.d.Paar;210;201;205;218;228;236
09181118;      Eresing;675;686;698;744;758;785
09181120;      Finning;216;220;240;255;265;260
09181121;      Fuchstal;581;579;578;600;633;623
09181122;      Geltendorf;424;431;480;514;558;595
09181123;      Greifenberg;593;621;649;666;695;730
09181124;      Hofstetten;213;231;192;219;223;240
09181126;      Hurlach;242;254;297;259;252;263
09181127;      Igling;1018;1040;1078;1148;1214;1244
09181128;      Kaufering, M;3488;3600;3672;3795;3941;4101
09181129;      Kinsau;85;89;102;112;133;140
09181130;      Landsberg am Lech, GKSt;13059;13068;13509;13841;14277;14678
09181131;      Obermeitingen;308;325;287;238;222;224
09181132;      Penzing;935;934;914;916;901;897
09181133;      Vilgertshofen;269;277;277;283;291;295
09181134;      Prittriching;327;354;370;379;395;391
09181135;      Reichling;179;185;185;177;185;199
09181137;      Rott;150;152;161;170;176;181
09181138;      Scheuring;202;212;202;225;211;221
09181139;      Schondorf am Ammersee;684;693;743;672;731;730
