;;Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS)
;;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung
;;Insgesamt;Wohnen;Gewerbe, Industrie;sonstige Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Abbauland;Grünanlage;sonstige Erholungsfläche;Straße, Weg, Platz;sonstige Verkehrsfläche;Moor;Heide;Landwirtschaftsfläche (ohne Moor, Heide);Waldfläche;Wasserfläche;Unland;Friedhof;Flächen anderer Nutzung (ohne Unland, Friedhof)
;;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar
09173111;      Bad Heilbrunn;403208;8203;613;6127;64;29;511;520;8971;-;17389;-;162434;185710;7835;4718;84;-
09173112;      Bad Tölz, St;308050;22873;3846;12711;1015;101;1352;3083;14993;828;11919;-;109323;111267;10236;3884;619;-
09173113;      Benediktbeuern;378566;6561;681;4381;93;-;88;367;6130;296;25888;-;115220;201841;5141;11786;93;-
09173115;      Bichl;139189;4019;482;1801;304;-;292;230;5449;538;229;-;50680;69494;3972;1655;44;-
09173118;      Dietramszell;968233;11666;1643;17835;567;2447;439;1366;24545;-;15798;-;432055;447110;6950;5653;159;-
09173120;      Egling;740544;13348;2468;13923;428;3776;381;6117;19693;-;14665;-;321240;322935;15647;5774;149;-
09173123;      Eurasburg;408695;9901;1637;8234;986;191;182;5162;12506;-;6467;-;200319;153151;6146;3735;78;-
09173124;      Gaißach;385488;4995;752;4831;386;-;7;1877;8088;935;6890;1;120046;223957;5480;7174;69;-
09173126;      Geretsried, St;245916;24513;14969;10379;434;18;929;1998;13466;190;2346;41;72375;94329;4590;4437;902;-
09173127;      Greiling;76507;3142;152;1225;443;-;-;218;2526;883;4347;-;42159;19741;726;945;-;-
09173130;      Icking;169907;16239;135;4240;121;-;279;2713;9987;934;293;93;68482;64219;212;1832;128;-
09173131;      Jachenau;1286358;1782;432;2901;257;149;11;453;15274;-;2947;-;140729;1075621;13551;32217;34;-
09173133;      Kochel a.See;801191;11467;875;6023;861;153;544;1053;12532;754;22455;-;105957;376620;213439;48332;126;-
09173134;      Königsdorf;456746;6411;1115;6113;137;2192;2114;1830;9443;1776;43543;-;181479;189309;6586;4646;52;-
